ROW,Date,CO
318,2015-04-06,13148.00
319,2015-04-07,7593.00
320,2015-04-08,20499.00
321,2015-04-09,3330.00
322,2015-04-11,8915.00
323,2015-04-12,3929.00
324,2015-04-13,11471.00
325,2015-04-14,14942.00
326,2015-04-15,7819.00
327,2015-04-16,4145.00
328,2015-04-18,9645.00
329,2015-04-19,15384.00
330,2015-04-20,12987.00
331,2015-04-21,6185.00
332,2015-04-22,6245.00
333,2015-04-23,4553.00
334,2015-04-25,15413.00
335,2015-04-26,3522.00
336,2015-04-27,15189.00
337,2015-04-28,10958.00
338,2015-04-29,13884.00
339,2015-04-30,7356.00
340,2015-05-03,7361.00
341,2015-05-04,3770.00
342,2015-05-05,13900.00
343,2015-05-06,6017.00
344,2015-05-07,20635.00
345,2015-05-09,17261.00
346,2015-05-10,10232.00
347,2015-05-11,1777.00
348,2015-05-12,17041.00
349,2015-05-13,11574.00
350,2015-05-14,109515.00
351,2015-05-17,2135.00
352,2015-05-18,11246.00
353,2015-05-19,11922.00
354,2015-05-20,9836.00
355,2015-05-21,5691.00
356,2015-05-23,4691.00
357,2015-05-24,16972.00
358,2015-05-25,9348.00
359,2015-05-26,5827.00
360,2015-05-27,7688.00
361,2015-05-28,5429.00
362,2015-05-30,10372.00
363,2015-05-31,7675.00
364,2015-06-01,7013.00
365,2015-06-02,11275.00
366,2015-06-06,10919.00
367,2015-06-07,4496.00
368,2015-06-08,2860.00
369,2015-06-09,7217.00
370,2015-06-10,16292.00
371,2015-06-11,9686.00
372,2015-06-13,12414.00
373,2015-06-14,2496.00
374,2015-06-15,25828.00
375,2015-06-16,18740.00
376,2015-06-17,13802.00
377,2015-06-18,15816.00
378,2015-06-20,2423.00
379,2015-06-21,11440.00
380,2015-06-22,5198.00
381,2015-06-23,34940.00
382,2015-06-24,10895.00
383,2015-06-25,12551.00
384,2015-06-27,4591.00
385,2015-06-28,9652.00
386,2015-06-29,8942.00
387,2015-06-30,15985.00
388,2015-07-01,12366.00
389,2015-07-02,4212.00
390,2015-07-04,17432.00
391,2015-07-05,6589.00
392,2015-07-06,11476.00
393,2015-07-07,9060.00
394,2015-07-09,4005.00
395,2015-07-11,17246.00
396,2015-07-12,11104.00
397,2015-07-13,10199.00
398,2015-07-14,4940.00
399,2015-07-15,5241.00
400,2015-07-16,10531.00
401,2015-07-20,18362.00
402,2015-07-21,10177.00
403,2015-07-22,12320.00
404,2015-07-23,1390.00
405,2015-07-25,8372.00
406,2015-07-26,4712.00
407,2015-07-27,15868.00
408,2015-07-28,13457.00
409,2015-07-29,8387.00
410,2015-07-30,8690.00
411,2015-08-01,2283.00
412,2015-08-02,15775.00
413,2015-08-03,1569.00
414,2015-08-04,19654.00
415,2015-08-05,16813.00
416,2015-08-06,5406.00
417,2015-08-08,5525.00
418,2015-08-09,1994.00
419,2015-08-10,4431.00
420,2015-08-11,4935.00
421,2015-08-12,12128.00
422,2015-08-13,2061.00
423,2015-08-15,25014.00
424,2015-08-16,6756.00
425,2015-08-17,8236.00
426,2015-08-18,11790.00
427,2015-08-19,3145.00
428,2015-08-20,8192.00
429,2015-08-22,1135.00
430,2015-08-23,11345.00
431,2015-08-24,8066.00
432,2015-08-25,11141.00
433,2015-08-26,4420.00
434,2015-08-27,17886.00
435,2015-08-29,13662.00
436,2015-08-30,3774.00
437,2015-08-31,9823.00
438,2015-09-01,8161.00
439,2015-09-02,8429.00
440,2015-09-03,6027.00
441,2015-09-05,8193.00
442,2015-09-06,18186.00
443,2015-09-07,4199.00
444,2015-09-08,8324.00
445,2015-09-09,12778.00
446,2015-09-10,8856.00
447,2015-09-12,9319.00
448,2015-09-13,5095.00
449,2015-09-14,7798.00
450,2015-09-15,6265.00
451,2015-09-16,2883.00
452,2015-09-17,4232.00
453,2015-09-19,12004.00
454,2015-09-20,9242.00
455,2015-09-21,12263.00
456,2015-09-22,7105.00
457,2015-09-23,7727.00
458,2015-09-26,8426.00
459,2015-09-27,20491.00
460,2015-09-28,6617.00
461,2015-09-29,9105.00
462,2015-09-30,3325.00
463,2015-10-01,16457.00
464,2015-10-03,11124.00
465,2015-10-04,15499.00
466,2015-10-05,11099.00
467,2015-10-06,30412.00
468,2015-10-07,15177.00
469,2015-10-08,8830.00
470,2015-10-10,8240.00
471,2015-10-11,15250.00
472,2015-10-12,14128.00
473,2015-10-13,13412.00
474,2015-10-14,12391.00
475,2015-10-15,5856.00
476,2015-10-17,5540.00
477,2015-10-18,5318.00
478,2015-10-19,16966.00
479,2015-10-20,21170.00
480,2015-10-21,17047.00
481,2015-10-22,34620.00
482,2015-10-25,16835.00
483,2015-10-26,8521.00
484,2015-10-27,5020.00
485,2015-10-28,8398.00
486,2015-10-29,2980.00
487,2015-10-31,9180.00
488,2015-11-01,3682.00
489,2015-11-02,4551.00
490,2015-11-03,5164.00
491,2015-11-04,18714.00
492,2015-11-05,8780.00
493,2015-11-07,13380.00
494,2015-11-08,6044.00
495,2015-11-09,12329.00
496,2015-11-10,24872.00
497,2015-11-11,1718.00
498,2015-11-12,9778.00
499,2015-11-14,12706.00
500,2015-11-15,15660.00
501,2015-11-16,3622.00
502,2015-11-17,39380.00
503,2015-11-18,13262.00
504,2015-11-19,21948.00
505,2015-11-21,24100.00
506,2015-11-22,12153.00
507,2015-11-23,18329.00
508,2015-11-24,9399.00
509,2015-11-25,21586.00
510,2015-11-26,11319.00
511,2015-11-28,9207.00
512,2015-11-29,12037.00
513,2015-11-30,21124.00
514,2015-12-01,3692.00
515,2015-12-03,5885.00
516,2015-12-05,23912.00
517,2015-12-06,16903.00
518,2015-12-07,11499.00
519,2015-12-08,9968.00
520,2015-12-09,26449.00
521,2015-12-13,21923.00
522,2015-12-14,157.00
523,2015-12-15,23720.00
524,2015-12-16,5815.00
525,2015-12-17,39184.00
526,2015-12-19,19060.00
527,2015-12-20,11522.00
528,2015-12-21,21839.00
529,2015-12-22,13004.00
530,2015-12-23,25318.00
531,2015-12-24,7175.00
532,2015-12-26,8914.00
533,2015-12-27,13442.00
534,2015-12-28,11512.00
535,2015-12-30,3842.00
536,2015-12-31,1998.00
537,2016-01-02,6414.00
538,2016-01-03,16515.00
539,2016-01-04,23346.00
540,2016-01-05,7732.00
541,2016-01-06,20609.00
542,2016-01-07,22043.00
543,2016-01-09,18125.00
544,2016-01-10,2456.00
545,2016-01-11,21828.00
546,2016-01-12,9178.00
547,2016-01-13,6288.00
548,2016-01-14,31479.00
549,2016-01-16,18521.00
550,2016-01-17,12259.00
551,2016-01-18,38531.00
552,2016-01-19,8022.00
553,2016-01-20,17832.00
554,2016-01-21,15480.00
555,2016-01-23,12360.00
556,2016-01-24,27657.00
557,2016-01-25,4494.00
558,2016-01-26,19270.00
559,2016-01-27,15677.00
560,2016-01-28,10988.00
561,2016-01-30,11058.00
562,2016-01-31,33812.00
563,2016-02-01,14944.00
564,2016-02-02,17314.00
565,2016-02-03,21700.00
566,2016-02-04,19470.00
567,2016-02-06,7062.00
568,2016-02-07,13122.00
569,2016-02-08,15581.00
570,2016-02-09,1517.00
571,2016-02-10,19931.00
572,2016-02-13,6486.00
573,2016-02-14,4510.00
574,2016-02-15,8072.00
575,2016-02-16,9409.00
576,2016-02-17,18820.00
577,2016-02-18,12945.00
578,2016-02-20,3352.00
579,2016-02-21,18674.00
580,2016-02-22,15472.00
581,2016-02-23,23938.00
582,2016-02-24,9621.00
583,2016-02-25,11891.00
584,2016-02-27,14818.00
585,2016-02-28,9908.00
586,2016-02-29,11856.00
587,2016-03-01,24522.00
588,2016-03-02,11057.00
589,2016-03-03,13680.00
590,2016-03-05,10175.00
591,2016-03-06,9585.00
592,2016-03-07,19808.00
593,2016-03-08,11100.00
